Age,percent
0-4,6.34510619276483
5-9,5.965330092523189
10-14,5.634021848014497
15-19,6.075408515986242
20-24,7.359895655764837
25-29,8.816759684203236
30-34,8.434225753967429
35-39,7.481662705717346
40-44,6.779417132072625
45-49,6.3834961237237104
50-54,6.271534097931459
55-59,5.753988819099046
60-64,5.321649127948521
65-69,4.2100881190079935
70-74,3.3191716552459547
75-79,2.455078745239451
80-84,1.674941572784555
85-100,1.7182241580050774
